NOME,MATRICULA,NOTA1,FALTA1,NOTA2,FALTA2,NOTA3,FALTA3
Ana Silva Oliveira,129442,81,85,44,6,43,37
Bruno Souza Rodrigues,361799,46,46,42,22,80,72
Carla Ferreira Alves,857111,20,82,26,75,87,53
Daniel Lima Gomes,294753,57,52,78,20,96,16
Eduarda Santos Silva,766822,27,31,18,0,78,5
Felipe Rodrigues Oliveira,778584,31,99,83,24,36,84
Gabriela Alves Souza,227757,98,93,95,74,46,22
Henrique Pereira Ferreira,511431,21,43,87,98,68,78
Isabela Gomes Lima,882345,54,17,12,95,83,12
João Silva Santos,386464,69,37,30,100,74,44
Ana Oliveira Souza,498954,4,51,36,16,59,47
Bruno Rodrigues Ferreira,544928,34,57,39,5,44,73
Carla Alves Lima,948955,30,56,48,46,62,5
Daniel Pereira Gomes,739742,28,58,53,53,87,24
Eduarda Silva Santos,285894,3,63,20,35,3,7
Felipe Oliveira Rodrigues,539921,2,14,84,20,76,98
Gabriela Ferreira Souza,547563,75,65,8,56,68,42
Henrique Alves Lima,535818,82,43,68,24,3,57
Isabela Santos Pereira,161842,57,89,59,19,40,30
João Rodrigues Silva,964658,26,25,1,100,44,22
Ana Lima Gomes,186429,30,55,38,24,83,2
Bruno Silva Oliveira,366981,82,61,100,75,26,62
Carla Souza Santos,735782,5,55,2,93,9,62
Daniel Rodrigues Alves,496977,8,11,45,41,62,15
Eduarda Ferreira Lima,367788,79,61,26,80,27,64
Felipe Pereira Silva,135172,42,40,83,83,61,19
Gabriela Gomes Oliveira,388321,27,50,71,81,17,14
Henrique Santos Souza,157319,82,86,99,61,56,37
Isabela Alves Ferreira,756832,90,82,66,50,12,0
João Lima Santos,428632,27,32,28,87,59,86
Ana Silva Rodrigues,434294,80,96,69,23,34,48
Bruno Oliveira Alves,184677,83,21,15,77,96,75
Carla Ferreira Gomes,652498,16,100,11,60,23,18
Daniel Santos Silva,299663,26,37,67,78,100,56
Eduarda Gomes Souza,387319,95,84,65,83,74,70
Felipe Silva Lima,487525,26,24,63,21,62,22
Gabriela Rodrigues Santos,578511,50,93,15,95,88,25
Henrique Lima Oliveira,332812,5,49,64,82,83,37
Isabela Ferreira Alves,577513,79,43,48,41,45,27
João Souza Silva,832792,94,31,79,76,9,19
Ana Gomes Pereira,774791,76,39,2,80,71,39
Bruno Alves Rodrigues,148417,59,41,73,74,62,89
Carla Silva Lima,461558,73,59,76,82,0,25
Daniel Oliveira Souza,599496,100,72,40,25,0,38
Eduarda Rodrigues Ferreira,569643,7,1,93,29,74,24
Felipe Alves Santos,489464,16,65,57,88,36,37
Gabriela Pereira Gomes,595547,9,33,34,76,28,70
Henrique Silva Oliveira,185351,48,81,47,89,33,21
Isabela Souza Alves,532423,60,79,7,71,98,87
João Ferreira Silva,835912,19,4,18,60,90,91
Felipe Gomes Santos,294418,10,69,36,92,93,56
Gabriela Lima Pereira,167464,16,86,17,24,47,100
Henrique Silva Souza,363746,77,97,9,59,67,41
Isabela Oliveira Rodrigues,315596,24,11,3,19,50,75
João Ferreira Lima,571684,69,56,29,98,32,85
Ana Souza Alves,474419,57,47,88,61,14,26
Bruno Pereira Gomes,795485,50,73,13,36,65,8
Carla Silva Santos,567474,57,72,35,50,96,68
Daniel Oliveira Rodrigues,318649,9,76,8,42,47,54
Eduarda Ferreira Souza,718947,49,64,1,83,76,86
Felipe Alves Lima,351918,73,73,37,56,72,5
Gabriela Gomes Pereira,311139,59,45,85,67,37,10
Henrique Santos Silva,715189,74,95,3,29,59,0
Isabela Rodrigues Oliveira,677482,54,1,75,79,88,45
João Lima Ferreira,111424,64,21,26,22,58,3
Ana Souza Alves,791999,1,53,79,86,39,87
Bruno Pereira Gomes,741164,61,15,41,30,77,99
Carla Gomes Silva,118499,99,98,87,97,87,23
Daniel Silva Oliveira,126896,29,34,13,29,51,91
Eduarda Oliveira Santos,969385,43,13,12,6,30,39
Felipe Ferreira Rodrigues,162839,8,59,79,77,100,64
Gabriela Alves Lima,624867,2,4,7,77,64,66
Henrique Gomes Pereira,512818,51,83,70,67,61,92
Isabela Silva Souza,829591,75,17,66,74,28,74
João Oliveira Rodrigues,974995,32,31,0,50,86,45
Ana Alves Ferreira,492621,63,67,69,73,74,9
Bruno Lima Santos,963654,85,28,76,61,22,65
Carla Rodrigues Gomes,664312,45,53,93,36,98,65
Daniel Souza Silva,123686,79,28,5,64,61,84
Eduarda Pereira Oliveira,337665,32,17,73,82,26,33
Felipe Silva Ferreira,774857,44,25,82,42,13,65
Gabriela Souza Lima,219224,40,6,14,41,62,94
Henrique Rodrigues Santos,854545,6,2,80,32,17,29
Isabela Lima Oliveira,823526,42,48,38,1,99,13
João Alves Pereira,429566,72,95,87,71,62,56
Ana Oliveira Ferreira,775886,38,26,48,62,51,30
Bruno Souza Gomes,243412,51,74,64,96,59,7
Carla Pereira Silva,543694,81,77,24,1,5,60
Daniel Gomes Rodrigues,441555,84,48,7,73,37,54
Eduarda Silva Alves,661596,44,37,38,63,66,90
Felipe Oliveira Souza,755552,13,74,90,69,6,1
Gabriela Ferreira Lima,669553,66,8,38,58,48,78
Henrique Santos Gomes,647282,65,62,91,94,38,14
Isabela Rodrigues Silva,716695,75,62,78,61,71,5
João Lima Oliveira,945785,5,29,41,98,46,24
Ana Souza Pereira,688875,32,56,51,13,16,56
Bruno Ferreira Silva,181376,29,30,28,64,79,55
Carla Gomes Rodrigues,733116,93,80,67,66,97,37
Daniel Alves Santos,998931,54,57,88,11,66,62
Eduarda Lima Souza,536649,71,94,90,79,33,13
